"","id","zip","total","Year","region","total_population","percent_white","percent_black","percent_asian","percent_hispanic","per_capita_income","median_rent","median_age","time","racegr","income"
"195",35,"60639",9,2016,"60639",91934,7,15,0,77,14310,771,30.3,7,5,-0.816880386647047
"196",36,"60640",10,2016,"60640",64365,53,18,13,13,35414,802,37.2,7,3,0.0385565985523661
"197",37,"60641",7,2016,"60641",70730,38,2,4,54,23168,779,35.3,7,4,-0.457827087988196
"198",38,"60642",2,2016,"60642",18312,59,11,5,21,45788,1035,31.7,7,3,0.459059976322396
"199",39,"60643",8,2016,"60643",51836,23,72,0,3,28249,779,42.1,7,4,-0.251872040518606
"200",40,"60644",24,2016,"60644",47631,2,94,0,3,13381,715,32.5,7,5,-0.854536800561483
"201",41,"60645",3,2016,"60645",46913,44,16,15,22,25500,893,35,7,3,-0.363300976848837
"202",43,"60647",11,2016,"60647",87146,38,6,3,52,30368,862,31.6,7,4,-0.165979746563074
"203",44,"60649",15,2016,"60649",45444,2,94,0,2,20347,723,37.9,7,5,-0.572174497732677
"204",45,"60651",9,2016,"60651",61150,3,63,0,33,14599,730,32.7,7,5,-0.805165958637067
"205",46,"60652",3,2016,"60652",42517,16,48,0,35,23889,946,34.9,7,5,-0.428601819492708
"206",47,"60653",8,2016,"60653",31086,4,91,1,2,22333,608,35.6,7,5,-0.491673272722915
"207",48,"60654",2,2016,"60654",15885,73,5,10,9,101469,1772,32.8,7,2,2.71605328436298
"208",50,"60656",2,2016,"60656",27468,77,1,8,12,29771,958,41.1,7,2,-0.190178755289573
"209",51,"60657",7,2016,"60657",68088,81,3,7,7,63820,1138,30.5,7,1,1.18997542918042
"210",52,"60659",3,2016,"60659",39657,40,5,32,20,21675,888,35.1,7,4,-0.518344876980933
"211",53,"60660",4,2016,"60660",42060,51,15,13,18,30160,794,36.2,7,3,-0.174410891982022
"212",56,"60827",5,2016,"60827",28547,3,92,0,4,16567,720,31,7,5,-0.725394351980866
"213",1,"60601",1,2015,"60601",9732,63,11,18,6,89136,1717,36.6,6,2,2.21614310911353
"214",2,"60602",1,2015,"60602",1463,62,2,22,12,66748,1487,32.4,6,2,1.30866001469331
"215",3,"60603",1,2015,"60603",882,61,4,30,5,73239,2001,26.1,6,2,1.57176849985865
"216",57,"60605",3,2015,"60605",24972,58,18,17,5,58338,1560,33.1,6,3,0.967766106167574
"217",5,"60607",1,2015,"60607",25134,53,16,19,8,50222,1303,30.6,6,3,0.6387892974167
"218",6,"60608",6,2015,"60608",78794,15,16,10,58,16542,636,31.3,6,5,-0.726407710805259
"219",7,"60609",8,2015,"60609",62773,17,28,4,49,14552,613,30.4,6,5,-0.807071073226925
"220",8,"60610",6,2015,"60610",38740,68,17,7,6,71176,1203,34.3,6,2,1.48814612966976
"221",9,"60611",6,2015,"60611",29722,75,4,15,4,107019,1549,39.5,6,2,2.94101894337818
"222",10,"60612",9,2015,"60612",36052,20,61,4,14,21407,767,30.6,6,5,-0.529208083578423
"223",11,"60613",3,2015,"60613",49536,76,6,6,10,55034,1066,31.5,6,2,0.833840603935824
"224",12,"60614",4,2015,"60614",68363,82,4,5,7,67585,1232,29.8,6,1,1.34258726813398
"225",13,"60615",2,2015,"60615",40745,25,60,7,5,32992,876,33.9,6,4,-0.0596176043548069
"226",14,"60616",2,2015,"60616",49491,24,24,39,11,28052,819,35.8,6,4,-0.259857308054821
"227",15,"60617",17,2015,"60617",83435,7,54,0,37,18242,648,36.1,6,5,-0.65749931074655
"228",16,"60618",4,2015,"60618",97413,44,2,4,47,31862,873,32.9,6,3,-0.105421423217361
"229",17,"60619",13,2015,"60619",64922,1,97,0,1,19987,701,39.4,6,5,-0.586766864803933
"230",18,"60620",16,2015,"60620",73253,1,97,0,1,16347,721,38.2,6,5,-0.734311909635523
"231",19,"60621",27,2015,"60621",33608,1,96,0,1,11893,676,31.6,6,5,-0.914851917789341
"232",20,"60622",7,2015,"60622",54272,59,8,3,28,43393,988,31.1,6,3,0.361980200945567
"233",21,"60623",20,2015,"60623",85158,2,34,0,63,11463,611,27.8,6,5,-0.932281689568897
"234",22,"60624",30,2015,"60624",39283,2,95,0,2,11731,690,27.9,6,5,-0.921418482971407
"235",23,"60625",10,2015,"60625",78966,42,4,14,38,29124,855,33.4,6,3,-0.216404481664859
"236",24,"60626",4,2015,"60626",51061,42,25,7,23,24054,788,33,6,3,-0.421913651251715
"237",25,"60628",27,2015,"60628",71710,2,94,0,3,17025,748,37.5,6,5,-0.706829618317991
"238",26,"60629",9,2015,"60629",113833,9,23,1,67,14299,743,29.2,6,5,-0.81732626452978
"239",27,"60630",4,2015,"60630",57886,59,1,11,27,26705,866,38.1,6,3,-0.314457081513104
"240",28,"60631",2,2015,"60631",28899,84,1,2,12,35878,1022,43.7,6,1,0.0573645383330962
"241",29,"60632",14,2015,"60632",90845,10,2,5,83,13596,672,29.3,6,5,-0.845821914671705
"242",30,"60633",1,2015,"60633",13474,32,25,1,42,20668,749,36.6,6,4,-0.559162970427474
"243",31,"60634",4,2015,"60634",72718,59,1,4,35,24269,849,38.9,6,3,-0.413198765361937
"244",32,"60636",17,2015,"60636",39918,1,94,0,3,11897,686,32.2,6,5,-0.914689780377439
"245",33,"60637",11,2015,"60637",48270,16,77,4,2,19746,753,30.7,6,5,-0.59653564387108
"246",34,"60638",1,2015,"60638",56033,54,3,1,41,25850,802,37.2,6,3,-0.349113953307338
"247",35,"60639",14,2015,"60639",91934,7,15,0,77,14310,771,30.3,6,5,-0.816880386647047
"248",36,"60640",6,2015,"60640",64365,53,18,13,13,35414,802,37.2,6,3,0.0385565985523661
"249",37,"60641",6,2015,"60641",70730,38,2,4,54,23168,779,35.3,6,4,-0.457827087988196
"250",38,"60642",1,2015,"60642",18312,59,11,5,21,45788,1035,31.7,6,3,0.459059976322396
"251",39,"60643",8,2015,"60643",51836,23,72,0,3,28249,779,42.1,6,4,-0.251872040518606
"252",40,"60644",19,2015,"60644",47631,2,94,0,3,13381,715,32.5,6,5,-0.854536800561483
"253",41,"60645",3,2015,"60645",46913,44,16,15,22,25500,893,35,6,3,-0.363300976848837
"254",42,"60646",1,2015,"60646",28314,76,1,10,12,40071,761,42.7,6,2,0.227325080360254
"255",43,"60647",9,2015,"60647",87146,38,6,3,52,30368,862,31.6,6,4,-0.165979746563074
"256",44,"60649",16,2015,"60649",45444,2,94,0,2,20347,723,37.9,6,5,-0.572174497732677
"257",45,"60651",19,2015,"60651",61150,3,63,0,33,14599,730,32.7,6,5,-0.805165958637067
"258",46,"60652",1,2015,"60652",42517,16,48,0,35,23889,946,34.9,6,5,-0.428601819492708
"259",47,"60653",11,2015,"60653",31086,4,91,1,2,22333,608,35.6,6,5,-0.491673272722915
"260",48,"60654",4,2015,"60654",15885,73,5,10,9,101469,1772,32.8,6,2,2.71605328436298
"261",51,"60657",4,2015,"60657",68088,81,3,7,7,63820,1138,30.5,6,1,1.18997542918042
"262",52,"60659",5,2015,"60659",39657,40,5,32,20,21675,888,35.1,6,4,-0.518344876980933
"263",53,"60660",2,2015,"60660",42060,51,15,13,18,30160,794,36.2,6,3,-0.174410891982022
"264",54,"60661",1,2015,"60661",7436,64,6,22,6,76827,1555,31,6,2,1.7172057583355
"265",55,"60707",1,2015,"60707",42712,58,7,3,29,26405,810,39.1,6,3,-0.326617387405818
"266",56,"60827",2,2015,"60827",28547,3,92,0,4,16567,720,31,6,5,-0.725394351980866
"267",1,"60601",2,2013,"60601",9732,63,11,18,6,89136,1717,36.6,4,2,2.21614310911353
"268",2,"60602",1,2013,"60602",1463,62,2,22,12,66748,1487,32.4,4,2,1.30866001469331
"269",57,"60605",1,2013,"60605",24972,58,18,17,5,58338,1560,33.1,4,3,0.967766106167574
"270",5,"60607",3,2013,"60607",25134,53,16,19,8,50222,1303,30.6,4,3,0.6387892974167
