"","X.1","X","ID","Case.Number","Date","Block","IUCR","Primary.Type","Description","Location.Description","Arrest","Domestic","Beat","District","Ward","Community.Area","FBI.Code","X.Coordinate","Y.Coordinate","Year","Updated.On","Latitude","Longitude","Location"
"2252",158564,158564,7553617,"HS357700","2010-06-13 01:02:00","018XX W 43RD ST","0460","BATTERY","SIMPLE","SIDEWALK","false","false",914,9,12,61,"08B",1164985,1876176,2010,"02/04/2016 06:33:39 AM",41.815829892,-87.670318697,"(41.815829892, -87.670318697)"
"72548",183322,183322,7592721,"HS397085","2010-07-06 05:02:00","057XX S GREEN ST","041A","BATTERY","AGGRAVATED: HANDGUN","RESIDENCE PORCH/HALLWAY","false","false",712,7,16,68,"04B",1171618,1866812,2010,"02/04/2016 06:33:39 AM",41.789991077,-87.646262197,"(41.789991077, -87.646262197)"
"2862",1590742,1590742,9857159,"HX506110","2014-11-13 09:15:00","028XX E 77TH ST","031A","ROBBERY","ARMED: HANDGUN","STREET","false","false",421,4,7,43,"03",1196527,1854628,2014,"02/04/2016 06:33:39 AM",41.75597,-87.55533,"(41.755974849, -87.555333653)"
"23822",1889800,1889800,10465186,"HZ192154","2016-01-01 07:00:00","012XX W 109TH ST","1562","SEX OFFENSE","AGG CRIMINAL SEXUAL ABUSE","OTHER","false","false",2234,22,34,75,"17",NA,NA,2016,"03/29/2016 03:51:36 PM",NA,NA,""
"35477",822194,822194,8597993,"HV271529","2012-05-04 05:45:00","012XX S LAWNDALE AVE","0560","ASSAULT","SIMPLE","STREET","false","false",1011,10,24,29,"08A",1151901,1894238,2012,"02/04/2016 06:33:39 AM",41.86566,-87.71784,"(41.865661296, -87.717838933)"
"6590",784194,784194,8535691,"HV212238","2012-03-24 01:30:00","034XX N CICERO AVE","1320","CRIMINAL DAMAGE","TO VEHICLE","STREET","false","false",1634,16,38,15,"14",1143763,1922658,2012,"02/04/2016 06:33:39 AM",41.94381,-87.747,"(41.943805131, -87.747001171)"
"62704",332931,332931,7824383,"HS635346","2010-11-27 05:35:00","033XX S WALLACE ST","0486","BATTERY","DOMESTIC BATTERY SIMPLE","APARTMENT","true","true",924,9,11,60,"08B",1172838,1882854,2010,"02/04/2016 06:33:39 AM",41.833985056,-87.641315151,"(41.833985056, -87.641315151)"
"31099",1309648,1309648,9375051,"HW518359","2013-11-02 08:01:00","023XX S WHIPPLE ST","2012","NARCOTICS","MANU/DELIVER:COCAINE","VEHICLE NON-COMMERCIAL","true","false",1033,10,12,30,"18",1156394,1888277,2013,"02/04/2016 06:33:39 AM",41.84921,-87.70151,"(41.849214079, -87.701505842)"
"12550",1411894,1411894,9553356,"HX205398","2014-03-31 04:30:00","059XX S ALBANY AVE","0820","THEFT","$500 AND UNDER","STREET","false","false",824,8,16,66,"06",1156730,1865175,2014,"02/04/2016 06:33:39 AM",41.78581,-87.7009,"(41.78581244, -87.70089672)"
"23544",1959075,1959075,10602475,"HZ354381","2016-07-18 06:07:00","038XX W ROOSEVELT RD","0520","ASSAULT","AGGRAVATED:KNIFE/CUTTING INSTR","SIDEWALK","true","false",1133,11,24,29,"04A",1151056,1894439,2016,"07/25/2016 03:56:00 PM",41.86623,-87.72094,"(41.866229446, -87.720935733)"
"42253",843393,843393,8631219,"HV304990","2012-05-24 08:00:00","049XX N PULASKI RD","1320","CRIMINAL DAMAGE","TO VEHICLE","OTHER","false","false",1712,17,39,14,"14",1148837,1932476,2012,"02/04/2016 06:33:39 AM",41.97065,-87.7281,"(41.970649709, -87.728096464)"
"28371",1389335,1389335,9511734,"HX166300","2014-02-25 11:08:00","099XX S WESTERN AVE","0810","THEFT","OVER $500","GAS STATION","false","false",2213,22,19,72,"06",1162136,1838580,2014,"02/04/2016 06:33:39 AM",41.71272,-87.68181,"(41.712720927, -87.681813981)"
"26259",2278810,2278810,11089800,"JA434184","2017-09-16 06:21:00","029XX N ASHLAND AVE","1121","DECEPTIVE PRACTICE","COUNTERFEITING DOCUMENT","RESTAURANT","false","false",1931,19,32,6,"10",1165151,1919489,2017,"09/23/2017 03:49:54 PM",41.93468,-87.66848,"(41.934680858, -87.668479075)"
"215",1776383,1776383,10264519,"HY452290","2015-10-06 08:20:00","028XX W DIVISION ST","1811","NARCOTICS","POSS: CANNABIS 30GMS OR LESS","PARK PROPERTY","true","false",1423,14,26,24,"18",1157363,1907856,2015,"10/13/2015 03:55:15 PM",41.90292,-87.69742,"(41.902921165, -87.697417099)"
"62544",1926880,1926880,10555463,"HZ301950","2016-06-09 09:00:00","011XX W WILSON AVE","2820","OTHER OFFENSE","TELEPHONE THREAT","STREET","false","false",1913,19,46,3,"26",1167628,1930696,2016,"06/16/2016 03:50:42 PM",41.96538,-87.65905,"(41.965380265, -87.659052093)"
"10982",2391504,2391504,10395695,"HZ131850","2016-01-27 02:00:00","017XX E 67TH ST","0890","THEFT","FROM BUILDING","APARTMENT","false","false",332,3,5,43,"06",1188889,1860900,2016,"02/03/2016 03:54:17 PM",41.77337,-87.58312,"(41.773371886, -87.583124257)"
"55290",1961270,1961270,10612773,"HZ365720","2016-07-14 12:40:00","073XX S STONY ISLAND AVE","0530","ASSAULT","AGGRAVATED: OTHER DANG WEAPON","STREET","false","false",324,3,5,43,"04A",1188079,1856816,2016,"07/28/2016 03:51:46 PM",41.76218,-87.58622,"(41.762184391, -87.586223523)"
"30029",1740578,1740578,10202423,"HY389750","2015-08-20 02:26:00","063XX S JUSTINE ST","0486","BATTERY","DOMESTIC BATTERY SIMPLE","STREET","true","false",725,7,16,67,"08B",1167095,1862636,2015,"08/31/2015 03:43:09 PM",41.77863,-87.66297,"(41.778629609, -87.662966135)"
"81002",1548344,1548344,9784585,"HX433772","2014-09-18 06:28:00","041XX N MENARD AVE","0460","BATTERY","SIMPLE","RESIDENCE PORCH/HALLWAY","false","false",1624,16,38,15,"08B",1136941,1926898,2014,"02/04/2016 06:33:39 AM",41.95557,-87.77197,"(41.95556543, -87.771973972)"
"53772",1463029,1463029,9641171,"HX291832","2014-06-06 01:15:00","014XX S HOMAN AVE","0460","BATTERY","SIMPLE","APARTMENT","false","false",1021,10,24,29,"08B",1153934,1892844,2014,"02/04/2016 06:33:39 AM",41.8618,-87.71041,"(41.861795765, -87.710412768)"
"39140",2010672,2010672,10689470,"HZ443705","2016-09-21 03:15:00","058XX N BROADWAY","0560","ASSAULT","SIMPLE","CHA PARKING LOT/GROUNDS","false","false",2022,20,48,77,"08A",1167252,1938889,2016,"09/28/2016 03:54:11 PM",41.98787,-87.6602,"(41.987870213, -87.66019784)"
"14869",1109567,1109567,9055372,"HW200193","2013-03-02 12:30:00","077XX S YATES BLVD","1310","CRIMINAL DAMAGE","TO PROPERTY","APARTMENT","false","false",421,4,7,43,"14",1193540,1854212,2013,"02/04/2016 06:33:39 AM",41.75491,-87.56629,"(41.754906915, -87.566293711)"
"45163",1082303,1082303,9008154,"HW155459","2013-02-13 05:43:00","049XX W OHIO ST","0460","BATTERY","SIMPLE","SIDEWALK","false","false",1532,15,37,25,"08B",1143419,1903541,2013,"02/04/2016 06:33:39 AM",41.89135,-87.74874,"(41.891352533, -87.748744536)"
"22230",1370551,1370551,9478536,"HX131963","2014-01-29 05:00:00","008XX W EASTMAN ST","0810","THEFT","OVER $500","STREET","false","false",1822,18,32,8,"06",1170577,1909613,2014,"02/04/2016 06:33:39 AM",41.90746,-87.64883,"(41.907463424, -87.648828293)"
"25861",1722482,1722482,10170127,"HY358492","2015-07-27 11:58:00","0000X E 102ND PL","041A","BATTERY","AGGRAVATED: HANDGUN","ALLEY","false","false",511,5,9,49,"04B",1178505,1837025,2015,"08/17/2015 03:03:40 PM",41.7081,-87.62191,"(41.708098273, -87.621912741)"
"45305",1742838,1742838,10206459,"HY393538","2015-08-22 09:00:00","040XX S OAKENWALD AVE","0486","BATTERY","DOMESTIC BATTERY SIMPLE","RESIDENCE PORCH/HALLWAY","false","true",214,2,4,36,"08B",1183944,1878670,2015,"08/31/2015 03:43:09 PM",41.82225,-87.6007,"(41.82225114, -87.600696053)"
"32940",412588,412588,7955168,"HT186673","2011-03-02 09:00:00","048XX W DRUMMOND PL","0910","MOTOR VEHICLE THEFT","AUTOMOBILE","STREET","false","false",2521,25,31,19,"07",1143773,1917193,2011,"02/04/2016 06:33:39 AM",41.928808464,-87.747101773,"(41.928808464, -87.747101773)"
"92715",1548629,1548629,9784927,"HX434133","2014-09-18 11:15:00","031XX S LAKE SHORE DR SB","0620","BURGLARY","UNLAWFUL ENTRY","BOAT/WATERCRAFT","false","false",211,2,4,35,"05",1181819,1884224,2014,"02/04/2016 06:33:39 AM",41.83754,-87.60832,"(41.837541161, -87.608319691)"
"5524",819718,819718,8593563,"HV267490","2012-05-02 09:10:00","038XX S ALBANY AVE","2820","OTHER OFFENSE","TELEPHONE THREAT","APARTMENT","false","true",911,9,12,58,"26",1156338,1878812,2012,"02/04/2016 06:33:39 AM",41.82324,-87.70197,"(41.823242115, -87.701966702)"
"35534",1637360,1637360,10020900,"HY210294","2015-04-03 08:00:00","040XX W JACKSON BLVD","0486","BATTERY","DOMESTIC BATTERY SIMPLE","RESIDENCE","false","false",1132,11,28,26,"08B",1149476,1898380,2015,"08/17/2015 03:03:40 PM",41.87707,-87.72663,"(41.877074789, -87.726633839)"
"23970",636330,636330,8301468,"HT535715","2011-10-10 07:08:00","025XX W NORTH AVE","1525","PROSTITUTION","PATRONIZING A PROSTITUTE","STREET","true","false",1434,14,1,24,"16",1158971,1910547,2011,"02/04/2016 06:33:39 AM",41.91027,-87.69144,"(41.910272625, -87.691436633)"
"91715",233458,233458,7670262,"HS475555","2010-08-22 01:39:00","002XX S WACKER DR","1330","CRIMINAL TRESPASS","TO LAND","COMMERCIAL / BUSINESS OFFICE","false","false",112,1,2,32,"26",1173971,1899133,2010,"02/04/2016 06:33:39 AM",41.878630716,-87.636673298,"(41.878630716, -87.636673298)"
"6949",1149235,1149235,9117835,"HW262696","2013-03-25 12:00:00","005XX W HARRISON ST","2860","PUBLIC PEACE VIOLATION","FALSE POLICE REPORT","POLICE FACILITY/VEH PARKING LOT","false","true",124,1,2,28,"24",1172659,1897574,2013,"02/04/2016 06:33:39 AM",41.87438,-87.64154,"(41.874381838, -87.641536792)"
"41483",1619508,1619508,9906313,"HX551036","2014-12-22 03:30:00","056XX N KIMBALL AVE","1320","CRIMINAL DAMAGE","TO VEHICLE","STREET","false","false",1711,17,39,13,"14",1152694,1937335,2014,"02/04/2016 06:33:39 AM",41.98391,-87.71378,"(41.983907443, -87.713784661)"
"86536",1082569,1082569,9008476,"HW155859","2013-02-14 12:23:00","004XX N STATE ST","033A","ROBBERY","ATTEMPT: ARMED-HANDGUN","RESTAURANT","true","false",1834,18,42,8,"03",1176292,1903432,2013,"02/04/2016 06:33:39 AM",41.89038,-87.62802,"(41.890375396, -87.628021414)"
"32975",2375513,2375513,9971652,"HY161313","2015-02-23 06:30:00","025XX W FITCH AVE","1320","CRIMINAL DAMAGE","TO VEHICLE","STREET","false","false",2411,24,50,2,"14",1158060,1947356,2015,"08/17/2015 03:03:40 PM",42.0113,-87.69377,"(42.011297245, -87.693774034)"
