"","region","total_population","percent_white","percent_black","percent_asian","percent_hispanic","per_capita_income","median_rent","median_age"
"1865",17089850101,6680,41,3,7,47,25451,976,31.5
"1866",17089850103,5818,78,2,10,10,36990,808,37.7
"1867",17089850105,7362,75,1,10,10,39422,1534,33.7
"1868",17089850106,8276,72,1,5,20,32818,1125,37.6
"1869",17089850201,4347,23,4,3,66,16069,1176,24.6
"1870",17089850202,6929,12,5,2,80,14317,860,29.5
"1871",17089850301,7005,23,21,0,56,12875,217,26.7
"1872",17089850302,4894,48,9,2,39,21886,785,31.9
"1873",17089850400,2320,82,0,2,15,34210,1125,48.3
"1874",17089850500,3597,83,6,2,8,31756,909,40.7
"1875",17089850600,7426,82,3,7,7,37529,1277,42
"1876",17089850701,18605,69,1,9,18,35176,1420,33.8
"1877",17089850702,14205,86,0,1,12,38604,1142,57.9
"1878",17089850703,2366,96,1,0,2,37375,833,46.3
"1879",17089850800,7377,43,3,2,53,22632,991,32.5
"1880",17089851000,6283,56,5,3,33,21814,849,33.1
"1881",17089851101,4138,48,1,0,46,21119,880,31.9
"1882",17089851102,3762,44,8,1,47,22703,846,35.2
"1883",17089851301,4366,23,4,2,70,15602,748,29.8
"1884",17089851302,3309,14,11,2,73,15950,747,28.2
"1885",17089851400,6854,21,10,0,68,15247,799,27
"1886",17089851500,1260,46,2,0,52,14220,701,28.9
"1887",17089851600,6638,43,7,2,46,20085,671,33.3
"1888",17089851801,7891,74,2,5,18,28816,919,37.1
"1889",17089851904,7630,55,2,1,41,26628,859,31.7
"1890",17089851905,11790,70,2,16,11,39257,1392,37.1
