"","id","zip","total","Year","region","total_population","percent_white","percent_black","percent_asian","percent_hispanic","per_capita_income","median_rent","median_age"
"218","60647","60647",27,2016,"60647",87146,38,6,3,52,30368,862,31.6
"219","60649","60649",30,2016,"60649",45444,2,94,0,2,20347,723,37.9
"220","60651","60651",33,2016,"60651",61150,3,63,0,33,14599,730,32.7
"221","60652","60652",8,2016,"60652",42517,16,48,0,35,23889,946,34.9
"222","60653","60653",20,2016,"60653",31086,4,91,1,2,22333,608,35.6
"223","60654","60654",13,2016,"60654",15885,73,5,10,9,101469,1772,32.8
"224","60655","60655",1,2016,"60655",28173,86,7,1,6,35689,867,37.6
"225","60656","60656",5,2016,"60656",27468,77,1,8,12,29771,958,41.1
"226","60657","60657",18,2016,"60657",68088,81,3,7,7,63820,1138,30.5
"227","60659","60659",7,2016,"60659",39657,40,5,32,20,21675,888,35.1
"228","60660","60660",12,2016,"60660",42060,51,15,13,18,30160,794,36.2
"229","60661","60661",7,2016,"60661",7436,64,6,22,6,76827,1555,31
"230","60707","60707",4,2016,"60707",42712,58,7,3,29,26405,810,39.1
"231","60827","60827",5,2016,"60827",28547,3,92,0,4,16567,720,31
"232","60601","60601",6,2015,"60601",9732,63,11,18,6,89136,1717,36.6
"233","60602","60602",10,2015,"60602",1463,62,2,22,12,66748,1487,32.4
"234","60603","60603",2,2015,"60603",882,61,4,30,5,73239,2001,26.1
"235","60604","60604",3,2015,"60604",415,80,0,16,3,135807,1614,54
"236","60605","60605",10,2015,"60605",24972,58,18,17,5,58338,1560,33.1
"237","60606","60606",4,2015,"60606",2789,75,2,13,9,83005,1855,30.9
"238","60607","60607",12,2015,"60607",25134,53,16,19,8,50222,1303,30.6
"239","60608","60608",21,2015,"60608",78794,15,16,10,58,16542,636,31.3
"240","60609","60609",28,2015,"60609",62773,17,28,4,49,14552,613,30.4
"241","60610","60610",16,2015,"60610",38740,68,17,7,6,71176,1203,34.3
"242","60611","60611",19,2015,"60611",29722,75,4,15,4,107019,1549,39.5
"243","60612","60612",28,2015,"60612",36052,20,61,4,14,21407,767,30.6
"244","60613","60613",8,2015,"60613",49536,76,6,6,10,55034,1066,31.5
"245","60614","60614",15,2015,"60614",68363,82,4,5,7,67585,1232,29.8
"246","60615","60615",7,2015,"60615",40745,25,60,7,5,32992,876,33.9
"247","60616","60616",10,2015,"60616",49491,24,24,39,11,28052,819,35.8
"248","60617","60617",43,2015,"60617",83435,7,54,0,37,18242,648,36.1
"249","60618","60618",18,2015,"60618",97413,44,2,4,47,31862,873,32.9
"250","60619","60619",33,2015,"60619",64922,1,97,0,1,19987,701,39.4
"251","60620","60620",46,2015,"60620",73253,1,97,0,1,16347,721,38.2
"252","60621","60621",54,2015,"60621",33608,1,96,0,1,11893,676,31.6
"253","60622","60622",20,2015,"60622",54272,59,8,3,28,43393,988,31.1
"254","60623","60623",44,2015,"60623",85158,2,34,0,63,11463,611,27.8
"255","60624","60624",51,2015,"60624",39283,2,95,0,2,11731,690,27.9
"256","60625","60625",17,2015,"60625",78966,42,4,14,38,29124,855,33.4
"257","60626","60626",14,2015,"60626",51061,42,25,7,23,24054,788,33
"258","60628","60628",53,2015,"60628",71710,2,94,0,3,17025,748,37.5
"259","60629","60629",28,2015,"60629",113833,9,23,1,67,14299,743,29.2
"260","60630","60630",14,2015,"60630",57886,59,1,11,27,26705,866,38.1
"261","60631","60631",5,2015,"60631",28899,84,1,2,12,35878,1022,43.7
"262","60632","60632",26,2015,"60632",90845,10,2,5,83,13596,672,29.3
"263","60633","60633",1,2015,"60633",13474,32,25,1,42,20668,749,36.6
"264","60634","60634",15,2015,"60634",72718,59,1,4,35,24269,849,38.9
"265","60636","60636",39,2015,"60636",39918,1,94,0,3,11897,686,32.2
"266","60637","60637",37,2015,"60637",48270,16,77,4,2,19746,753,30.7
"267","60638","60638",5,2015,"60638",56033,54,3,1,41,25850,802,37.2
"268","60639","60639",32,2015,"60639",91934,7,15,0,77,14310,771,30.3
"269","60640","60640",17,2015,"60640",64365,53,18,13,13,35414,802,37.2
"270","60641","60641",19,2015,"60641",70730,38,2,4,54,23168,779,35.3
"271","60642","60642",9,2015,"60642",18312,59,11,5,21,45788,1035,31.7
